source,clickbait,methods,gpt_zero_shot_clickbait,gpt_few_shot_clickbait,gemini_zero_shot_clickbait,gemini_few_shot_clickbait,gpt_zero_shot_source,gpt_few_shot_source,gemini_zero_shot_source,gemini_few_shot_source
China's Gold Consumption Rises on Safe-Haven Demand,The Gold Rush is On: But What's Really Behind China's Sudden Gold Frenzy - and Where Will it End?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Have Iran-Israel missile strikes changed the Middle East?,The $1 Million Question: Have Iran-Israel Missile Strikes Changed the Middle East Forever?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Exaggeration'])","('Yes', ['Provocative Questions', 'Curiosity Gap'])","('Yes', ['Provocative Questions', 'Curiosity Gap'])","('Yes', ['Provocative Questions', 'Emotional Triggers'])","('Yes', ['Provocative Questions'])"
UK minister appears to mix up Rwanda and Congo on Question Time,You Won't Believe What Happened on Question Time: UK Minister's Shocking Mistake - Are They Even Paying Attention?,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Ambiguous References'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Vaping now more common than smoking among young people  and the risks go beyond lung and brain damage,The #1 Thing You're Not Being Told About Vaping: The Hidden Dangers That Will Shock You - Don't Let Your Loved Ones Fall Victim!,"[0, 1, 0, 0, 1, 1, 1, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Curiosity Gap'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Exaggeration', 'Emotional Triggers'])"
"UK Rwanda policy is kneejerk reaction to migration, says Irelands deputy PM",The Most Reckless Decision Ever Made: UK Rwanda Policy Exposed - You Won't Believe the Consequences!,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Lists/Superlatives'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Unfinished Narratives'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Moses McKenzie: I was thinking about the predicament of the black British diaspora,The Untold Story of a Forgotten Community: What's Really Going On with the Black British Diaspora?,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Ambiguous References', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Ambiguous References'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Sheffield United relegated after thrashing by five-star Newcastle,Can You Handle the Truth? Sheffield United's Shocking Downfall: What Went Wrong and How Will You Feel About It?,"[0, 0, 1, 0, 0, 0, 1, 0, 1, 1]","('Yes', ['Provocative Questions', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Exaggeration'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Zeki Amdouni punishes Onana to grab Burnley a draw at Manchester United,The Greatest Comeback of the Century: Zeki Amdouni's Jaw-Dropping Goal - What Just Happened and How Will It Change Everything?,"[1, 1, 0, 1, 1, 0, 0, 0, 1, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Curiosity Gap', 'Sensationalism'])","('Yes', ['Exaggeration', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Exaggeration', 'Sensationalism', 'Curiosity Gap'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
The overturning of Harvey Weinsteins rape conviction is an affront to women | Moira Donegan,A Betrayal of Trust: The Shocking Truth About Harvey Weinstein's Conviction - What Does It Mean for You and Your Loved Ones?,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Exaggeration'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
US spies believe Putin didnt order Navalnys death  WSJ,Did Putin Really Have Nothing to Do with Navalny's Death? The Question That Will Haunt You - What's the Real Story?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","('Yes', ['Provocative Questions', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Provocative Questions', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Ambiguous References', 'Sensationalism'])","('Yes', ['Ambiguous References', 'Emotional Triggers', 'Sensationalism'])","('No', ['None'])","('Yes', ['Sensationalism', 'Ambiguous References'])"
British deportation bill driving migrants to Ireland  Deputy PM,What's Behind the Sudden Surge of Migrants to Ireland? The Unexpected Consequence of the British Deportation Bill - You Won't Believe the Reason!,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Unexpected Associations'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References'])","('No', ['None'])","('No', ['None'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
US to provide Patriot missiles to Ukraine as part of fresh $6bn aid package,The Biggest Aid Package in History: $6bn and Counting - What Does It Mean for the Future of Ukraine and the World?,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Israel struck zones in Gaza that it had declared safe  NBC,You Won't Believe What Happened in Gaza After Israel Made a Shocking Move...,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('Yes', ['Sensationalism', 'Emotional Triggers'])"
US lawmakers want to deploy anti-Semitism monitors at colleges,What's Really Going On At US Colleges? Lawmakers Want To Monitor Something Big,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Ambiguous References', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Ambiguous References'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Palestinian baby rescued from mothers womb dies in Gaza hospital,The Heartbreaking Story of a Palestinian Baby's Fight For Life - What Happened Next Will Leave You Speechless,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Unfinished Narratives', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('No', ['None'])"
Worlds most famous painting could get its own room,The Most Epic Art Move EVER: You Won't Guess Which Mind-Blowing Masterpiece Is Getting Its Own Private Sanctuary,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Curiosity Gap'])","('Yes', ['Exaggeration', 'Sensationalism', 'Curiosity Gap', 'Emotional Triggers', 'Lists/Superlatives'])","('Yes', ['Exaggeration', 'Curiosity Gap', 'Sensationalism', 'Lists/Superlatives'])","('Yes', ['Exaggeration', 'Sensationalism', 'Curiosity Gap', 'Lists/Superlatives'])","('Yes', ['Curiosity Gap', 'Sensationalism'])","('No', ['None'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap'])","('Yes', ['Exaggeration', 'Lists/Superlatives', 'Curiosity Gap'])"
Boston cops clear pro-Palestinian college protest (VIDEOS),CHaos Erupts: Boston Cops Take Drastic Action Against College Protest - Watch The Shocking Footage,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Ambiguous References'])","('No', ['None'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('No', ['None'])"
Beetroot and beefless bourguignon as Paris Olympics embraces vegetarian cuisine,The Paris Olympics Just Made a Jaw-Dropping Announcement About Food - Can You Guess What's Really Going On?,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Unexpected Associations'])","('No', ['None'])","('No', ['None'])","('Headline', ['Beetroot and', 'beefless bourguignon', 'as Paris', 'Olympics embraces', 'vegetarian cuisine', 'No', 'None'])"
Safran Backs Outlook as Revenue Beats Forecasts,The #1 Company You've Never Heard Of Just Made a Stunning Move - Here's What It Means For Your Wallet,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Lists/Superlatives', 'Direct Appeals', 'Exaggeration'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
The Biden EPA's Plan to Ration Electricity,Biden's Shocking Plan to Control Your Electricity - What Does It Mean For Your Family's Future?,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]","('Yes', ['Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Curiosity Gap', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Exaggeration', 'Sensationalism'])"
"Gazas 37m tonnes of bomb-filled debris could take 14 years to clear, says expert",The Unbelievable Truth About Gaza's Toxic Time Bomb - Can You Handle The Shocking Reality?,"[0, 1, 0, 0, 0, 1, 1, 1, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
We chose not to blow up our life: readers on surviving infidelity,The Secret's Out: Real People Share Their Jaw-Dropping Stories of Surviving the Ultimate Betrayal - Can You Relate?,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Direct Appeals', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Unfinished Narratives'])","('No', ['None'])"
Ravneet Gills recipe for brown butter and honey custard pots | The sweet spot,"You Won't Believe the Secret to Ravneet Gill's Irresistible Brown Butter and Honey Custard Pots - It Will Change Your Life Forever, But First, Can You Handle the Truth?","[0, 1, 0, 0, 0, 1, 1, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Curiosity Gap', 'Emotional Triggers', 'Direct Appeals', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Iraqi TikTok star Om Fahad shot dead in Baghdad,Tragedy Strikes: The Senseless Killing of a Beloved TikTok Star - What Really Happened in Baghdad and Will Justice Ever Be Served?,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1]","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
I felt immense shame: one mans experience of a female stalker,The Dark Secret He Kept Hidden for So Long: One Man's Chilling Tale of Being Stalked - But What Happened Next Will Leave You Speechless,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Exaggeration'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Ambiguous References'])","('Yes', ['Emotional Triggers', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers'])"
Joe Biden goes on campaign spree as Donald Trump faces court disruptions,The Battle for the White House: What's Really Going On Behind the Scenes as Biden and Trump Clash - Can You Guess What's Coming Next?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('No', ['None'])","('No', ['None'])","('Headline', ['Joe Biden', 'goes on', 'campaign spree', 'as Donald', 'Trump faces', 'court disruptions', 'No', 'None'])"
Thousands rally in Madrid to support PM as corruption probe continues,Join the Movement: Thousands Unite in Madrid to Stand Up for What's Right - Will You Be Part of This Historic Moment?,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","('Yes', ['Direct Appeals', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Direct Appeals', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Direct Appeals', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Direct Appeals', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
England beat France to win Women's Six Nations Grand Slam,The Unstoppable Team: England's Thrilling Victory Over France - But What's Next for These Champions and How Can You Be a Part of It?,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Unfinished Narratives', 'Direct Appeals'])","('Yes', ['Exaggeration', 'Unfinished Narratives', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Macron ready to 'open debate' on nuclear European defence,The Nuclear Bombshell: Macron's Shocking Proposal That Will Change Europe Forever - Are You Prepared for the Fallout and the Unexpected Twist That Will Leave You Breathless?,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 0]","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Exaggeration', 'Emotional Triggers', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration', 'Curiosity Gap', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Exaggeration', 'Emotional Triggers', 'Unfinished Narratives', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Arizona House votes to overturn abortion ban,"The Tipping Point: Arizona's Historic Vote to Overturn the Abortion Ban - What This Means for You and the Future of Human Rights, But There's More to the Story Than Meets the Eye","[0, 1, 0, 0, 0, 1, 1, 1, 1, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Ambiguous References', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Unfinished Narratives', 'Direct Appeals', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Ambiguous References', 'Unfinished Narratives', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
TikTok vows to fight 'unconstitutional' US ban,The TikTok Saga: What's Really at Stake in the Battle Against the US Ban - Stay Tuned for the Next Shocking Update,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Unfinished Narratives', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
Weinstein train wreck after shock ruling,The Weinstein Disaster: The Shocking Truth Behind the Train Wreck of a Trial - You Won't Believe the Emotional Toll It's Taking on Everyone Involved,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration'])","('Yes', ['Sensationalism', 'Emotional Triggers'])"
Blinken to Return to Israel to Discuss Hostages and Planned Rafah Incursion,You Won't Believe What's Happening in Israel: Blinken's Shocking Return to Discuss the Unthinkable - Will He Find a Way Out for the Hostages?,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"Audacious, stimulating and utterly bonkers: Siang Lu, the thrilling new face of Australian literature","Are You Ready for the Most Mind-Blowing Literary Experience of Your Life? Meet Siang Lu, the Game-Changing Author Who Will Leave You Speechless - But Can You Handle the Truth?","[0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Sensationalism'])","('Yes', ['Exaggeration', 'Sensationalism'])"
Weekend podcast: I was hammered on stage  David Harewood on racism and success; John Crace on tetchy Rishi; the answer to insomnia hell; and Baby Reindeer fall out,"The Most Explosive Podcast of the Year: You Won't Believe What Happened When David Harewood Took the Stage - Plus, the Shocking Truth About Insomnia and the Fall Out That Will Leave You Breathless!","[0, 1, 0, 1, 0, 0, 1, 1, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Exaggeration', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Unfinished Narratives'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Ambiguous References', 'Emotional Triggers'])","('Yes', ['Emotional Triggers', 'Lists/Superlatives', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Unfinished Narratives'])"
India election: Modi and rivals trade accusations as voter turnout slumps in second phase,India on the Brink: The Election That Will Change Everything - But What's Really Going On Behind the Scenes? You Won't Believe the Shocking Accusations and the Stunning Voter Turnout That Will Leave You on the Edge of Your Seat!,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Exaggeration', 'Provocative Questions', 'Curiosity Gap'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Conservatives condemn Kristi Noem for twisted admission of killing dog,The Heartbreaking Truth About Kristi Noem's Dark Secret: You'll Be Left Speechless by the Twisted Admission That's Leaving Everyone in Shock,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Exaggeration'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Curiosity Gap', 'Exaggeration', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers'])"
